POWER_DEMAND,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,description,icon,stations
3153,37.7,23.1,28.7,35.4,23.1,28.1,12.7,39.7,2,100,4.17,rain,,22.3,261.5,1008.3,41.5,2.7,297.7,25.5,10,,2013-04-14T05:56:48,2013-04-14T18:46:26,0.13,Partly cloudy throughout the day with early morning rain.,rain,"42182099999,VIDP,42181099999,remote"
3180,37.5,21.1,28.6,35.3,21.1,28,12.9,41.7,0,0,0,,,17.6,296.4,1005.1,5.2,2.3,304.4,26.1,10,,2013-04-15T05:55:45,2013-04-15T18:47:01,0.16,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
3558,40.1,21.9,31.7,37.5,21.9,30.4,9.9,30.7,0,0,0,,33.5,27.7,261.5,1001.7,23.2,2.3,291.8,25.2,10,,2013-04-16T05:54:42,2013-04-16T18:47:35,0.19,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42181099999,remote"
3646,36.4,21,29.9,34,21,28.5,7.2,27.4,0,0,0,,,22.3,298.2,1002.5,2.3,3,330,28.5,10,,2013-04-17T05:53:39,2013-04-17T18:48:09,0.22,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
3658,37.5,21.7,30.6,35.2,21.7,29.2,5.7,23.7,0,0,0,,,12.4,110,1003.4,18.2,2.8,284.9,24.7,10,,2013-04-18T05:52:38,2013-04-18T18:48:44,0.25,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999,remote"
3751,37.3,21.4,30.3,35,21.4,28.9,6.8,27.2,0,0,0,,,14.8,324,1004,7.2,2.8,309.4,26.8,10,,2013-04-19T05:51:37,2013-04-19T18:49:19,0.29,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999"
3534,37.7,22.2,30.6,36,22.2,29.4,8.5,27.8,0,0,0,,,16,95.2,1003.9,26.1,2.2,302.7,26,10,,2013-04-20T05:50:37,2013-04-20T18:49:53,0.32,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42181099999"
3592,37,23.9,28.4,35.4,23.9,28.1,13.1,39.5,0,0,0,,37.1,27.7,113.9,1007.2,56,3.1,293.5,25.5,9,,2013-04-21T05:49:37,2013-04-21T18:50:28,0.35,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42181099999,remote"
